#,Gene,Inheritance,Page URL,Has Page,Notes,Suhana's Notes,Source / Reference,Status
55,NRL,autosomal dominant,,No,,,https://retnet.org/disease,Confirmed current
56,NR2E3,adRP / arRP,https://www.rphope.org/genetic-insights-nr2e3,Yes,,,https://retnet.org/disease,Confirmed current
57,PCARE,autosomal recessive,,No,Also known as C2orf71,,https://retnet.org/disease,Needs follow-up
58,PDE6A,autosomal recessive,https://www.rphope.org/genetic-insights-pde6a,Yes,,,https://retnet.org/disease,Confirmed current
59,PDE6B,autosomal recessive,https://www.rphope.org/genetic-insights-pde6b,Yes,,,https://retnet.org/disease,Confirmed current
60,PDE6G,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
61,POMGNT1,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
62,PRCD,autosomal recessive,,No,,,https://retnet.org/disease,Confirmed current
63,PROM1,autosomal recessive,https://www.rphope.org/genetic-insights-prom1,Yes,,,https://retnet.org/disease,Confirmed current
64,PROS1,autosomal recessive,,No,Uncommon RP gene — verify association,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Needs follow-up
65,PRPF3,autosomal dominant,https://www.rphope.org/genetic-insights-prpf3,Yes,,,https://retnet.org/disease,Confirmed current
66,PRPF4,autosomal dominant,https://www.rphope.org/genetic-insights-prpf4,Yes,,,https://retnet.org/disease,Confirmed current
67,PRPF6,autosomal dominant,https://www.rphope.org/genetic-insights-prpf6,Yes,,,https://retnet.org/disease,Confirmed current
68,PRPF8,autosomal dominant,https://www.rphope.org/genetic-insights-prpf8,Yes,,,https://www.ncbi.nlm.nih.gov/gene/10594,Confirmed current
69,PRPF31,autosomal dominant,https://www.rphope.org/genetic-insights-prpf31,Yes,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
70,PRPH2,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/gene/5949,Confirmed current
71,RBP3,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/gene/5949,Confirmed current
72,RDH12,autosomal dominant,,No,,GeneReviews lists RDH12-RP as dominant; matches sheet (RDH12-LCA is recessive).,GeneReviews NBK1417 Table 2 (rev. Apr 2023),Confirmed current
73,REEP6,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/gene/92840,Confirmed current
74,RGR,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10752277/,Confirmed current
75,RHO,autosomal dominant,https://www.rphope.org/genetic-insights-rho,Yes,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
76,RLBP1,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
77,ROM1,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/gene/6094,Confirmed current
78,RP1,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/gene/6101,Confirmed current
79,RP2,x-linked,https://www.rphope.org/genetic-insights-rp2,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10567581/,Confirmed current
80,RP6,x-linked,,No,is locus,,https://pmc.ncbi.nlm.nih.gov/articles/PMC1684267/,Confirmed current
81,RP9,autosomal dominant,https://www.rphope.org/genetic-insights-rp9,Yes,,GeneReviews notes RP9/PAP1 association not supported by later studies; add caveat.,GeneReviews NBK1417 Table 2 (rev. Apr 2023),Needs follow-up
82,RP17,autosomal recessive,https://www.rphope.org/genetic-insights-rp17,Yes,,,https://retnet.org/disease,To review
83,RP22,autosomal recessive,,No,"RPxx = locus symbol, not a gene name — map to actual gene",,https://retnet.org/disease,Needs follow-up
84,RP24,x-linked,,No,"RPxx = locus symbol, not a gene name — map to actual gene",,https://retnet.org/disease,Needs follow-up
85,RP29,autosomal recessive,,No,"RPxx = locus symbol, not a gene name — map to actual gene",,https://retnet.org/disease,Needs follow-up
86,RP34,x-linked,,No,"RPxx = locus symbol, not a gene name — map to actual gene",,https://retnet.org/disease,Needs follow-up
87,RP51,autosomal recessive,https://www.rphope.org/genetic-insights-rp51,Yes,,,https://retnet.org/disease,To review
88,RP59,autosomal recessive,,No,RPxx = locus symbol (DHDDS) — already listed as DHDDS,"RP59 locus = DHDDS, already listed separately; merge.",RetNet / OMIM; GeneReviews,Merge duplicate
89,RP63,autosomal dominant,,No,"RPxx = locus symbol, not a gene name — map to actual gene",,https://www.ncbi.nlm.nih.gov/medgen/482632,Needs follow-up
90,RPE65,autosomal dominant,https://www.rphope.org/genetic-insights-rpe65,Yes,Listed AD; RPE65 is classically autosomal recessive — verify,Predominantly recessive; rare dominant form exists. 'Dominant' is the rarer form.,GeneReviews NBK1417 Table 3 (rev. Apr 2023) + Table 2,Needs follow-up
91,RPGR,x-linked,https://www.rphope.org/genetic-insights-rpgr,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10626266/,Confirmed current
92,RP1L1,autosomal recessive,,No,Also written RP1L1; assoc. often occult macular dystrophy — verify,,,Needs follow-up
93,SAG,autosomal dominant,https://www.rphope.org/genetic-insights-sag,Yes,Often recessive (Oguchi disease) — verify,SAG-RP recessive in GeneReviews; verify inheritance (sheet says dominant).,GeneReviews NBK1417 Table 3 (rev. Apr 2023),Needs follow-up
94,SAMD11,autosomal recessive,,No,,,https://pubmed.ncbi.nlm.nih.gov/27734943/,Confirmed current
95,SLC7A14,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
96,SEMA4A,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
97,SNRNP200,autosomal dominant,https://www.rphope.org/genetic-insights-snrnp200,Yes,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7859630/,Confirmed current
98,SPATA7,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC2668010/,Confirmed current
99,SPP2,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
100,TOPORS,autosomal dominant,,No,,,https://www.ncbi.nlm.nih.gov/books/NBK1417/table/rp-overview.T.genes_associated_with_nons/,Confirmed current
101,TRNT1,autosomal recessive,,No,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4690490/,Confirmed current
102,TULP1,autosomal recessive,,No,,,https://jamanetwork.com/journals/jamaophthalmology/fullarticle/419616,Confirmed current
103,USH2A,autosomal recessive,https://www.rphope.org/genetic-insights-ush2a,Yes,,,https://www.sciencedirect.com/science/article/pii/S2666247723000611,Confirmed current
104,USH3A,autosomal recessive,https://www.rphope.org/genetic-insights-ush3a,Yes,USH3A locus = CLRN1 — already listed as CLRN1,"USH3A = CLRN1, already listed separately; merge.",RetNet / OMIM,Merge duplicate
105,ZNF408,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/gene/79797,Confirmed current
106,ZNF513,autosomal recessive,,No,,,https://www.ncbi.nlm.nih.gov/gene/130557,Confirmed current
